source,type,department,bu_cost_center,billed_cost_center,cost_center,business_unit,business_internal,revenue_type,cc_costs_type,bu_costs_type,client,client_status,pm,sm,project_id,project,project_status,category,detail,media_type,paid_by,month,year,duzp,cf_date,dph_date,id_mediaplan,mediaplan,invoice_number,invoice_issue_date,invoice_due_date,invoice_payment_date,forecast_level,main_status,finance_status,cf_status,probability,hours,firma,industry,cost_category,fc_source,fc_source_prepayments,client_logo,pm_email,pm_picture,price_fc_revenues,price_fc_revenues_prepayments,price_fc_costs,price_fc_costs_prepayments,price_bp_revenues,price_bp_revenues_prepayments,price_bp_costs,price_bp_costs_prepayments,price_bp_revised_revenues,price_bp_revised_revenues_prepayments,price_bp_revised_costs,price_bp_revised_costs_prepayments,price_real_revenues,price_real_revenues_prepayments,price_real_revenues_findb,price_real_costs,forecast_fc_revenues,forecast_fc_revenues_prepayments,forecast_fc_costs,forecast_fc_costs_prepayments,forecast_fc_revenue_cm,forecast_fc_costs_cm,forecast_fc_real_up_to_date_revenues,forecast_fc_real_up_to_date_revenues_prepayments,price_fc_real_up_to_date_revenues_prepayments,forecast_fc_real_up_to_date_costs,forecast_fc_real_up_to_date_costs_prepayments,price_fc_real_up_to_date_costs_prepayments
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,New,-,-,7210003,-,ne,služby,Campaigns,,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,14744,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.7,64.2857142857143,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,71550.000000000029,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,služby,Campaigns,,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,25,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,34000,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,zisk z médií,Burda,ziskové,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,18285.714285714243,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550026,-,ne,zisk z médií,Product,běžné,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13768,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
Mediaplán (CMP) - Fakturace,Revenue,,,,,BU2,Business,Neproduktivní revenue,,,-,Existing,-,-,4550026,-,ne,média,Ringier,ziskové,MUP,1,2027,2027-01-01,2027-03-09,2027-01-01,13768,-,,2027-02-01,2027-02-28,,3,Forecast,Plán - CMP,Pohledávky - plán,0.8,,,Retail & Consumer Services,,CM,CM,-,-,-,35714.285714285754,35714.285714285754,,,,,,,,,,,,,,,28571.4285714286,28571.4285714286,,,28571.4285714286,,28571.4285714286,28571.4285714286,35714.285714285754,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,média,Meta,běžné,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,Meta,Retail & Consumer Services,Business,CM,CM,-,-,-,,,250000,250000,,,,,,,,,,,,,,,200000,200000,,200000,,,,200000,200000,250000
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550026,-,ne,média,Ringier,ziskové,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13768,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,Ringier,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,28571.4285714286,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550026,-,ne,zisk z médií,GMP - DV360,ziskové,MUP,1,2027,2027-01-01,2027-03-31,2027-01-01,13768,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,92857.142857142811,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,média,GMP - DV360,ziskové,MUP,1,2027,2027-01-01,2027-03-31,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,GMP - DV360,Retail & Consumer Services,Business,CM,CM,-,-,-,,,0,0,,,,,,,,,,,,,,,0,0,,0,,,,0,0,0
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550026,-,ne,média,GMP - DV360,ziskové,MUP,1,2027,2027-01-01,2027-03-31,2027-01-01,13768,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,GMP - DV360,Retail & Consumer Services,Business,CM,CM,-,-,-,,,0,0,,,,,,,,,,,,,,,0,0,,0,,,,0,0,0
